ICAO,flight_count,Name
MLM,13,Comlux Malta
DCF,13,DC Aviation Al-Futtaim
DHS,13,
PEX,13,Shell Aircraft
DMF,13,Dmcfly
9HW,13,
GNY,13,German Navy
PAT,13,"Department Of The Army, Priority Air Transport"
UKN,13,Ukraine Air Enterprise
ABX,12,ABX Air
MIN,12,Business European Airways
VTS,12,Everts Air
LSA,12,Leader
OMO,12,
ATG,12,Aerotranscargo
N46,12,
DGM,12,
SPR,12,PAL Aerospace
RCH,12,Air Mobility Command (AMC)
AIZ,12,Arkia Israeli Airlines
OOL,12,
DKB,12,
SJI,12,Smart Jet International
TCD,12,Tchad Airlines
ITI,12,iNTAIRLINE
SCT,12,Saab-Aircraft
DBV,12,
9HP,12,
BAG,12,Birdbase Aviation
OKR,12,
EUP,12,Pan Europeenne
MFX,11,My Freighter
OOH,11,
SEU,11,SkyUp MT
ROF,11,Romanian Air Force
DAN,11,Dan-Air
SON,11,Acass Ireland
TLK,11,Starlink Aviation
SYB,11,Skyservice Business Aviation
GRI,11,Air Cargo Center
TFF,11,Talon Air
SPE,11,Sprague Electric Co.
FGM,11,
HMZ,11,Zafer Air
PVR,11,Priv'Air
HAI,11,Hai Au Aviation
N73,11,
KRH,11,UK Royal / VIP Flights
IMX,11,Zimex Aviation
FEG,11,flyEgypt
SPW,11,Speedwings
JTY,11,Jetology
JKH,11,Jetkontor
JML,11,Jet Aviation Flight Services (Malta) Ltd.
PHW,11,ave.com
JTD,11,Jettime
PHS,11,Polizeihubschrauberstaffel Sachsen
BIX,10,Braathens International Airways
EOA,10,Elilombarda
PHB,10,Phoebus Apollo Aviation
PHK,10,
DPT,10,Libertas Airways
DHC,10,De Havilland Aircraft of Canada
FNF,10,Finnish Air Force
PLF,10,Polish Air Force
CFM,10,ACEF - Transportes Aereos Cargas
B65,10,
DMN,10,Diamond Flight Academy Scandinavia
DMV,10,
VQB,10,
MJP,10,Air Majoro
HKY,10,
OOS,10,
FHA,10,Foshing Airline
2CO,10,
DGE,10,
HBG,10,Hamburg Chile Airlines
HCR,10,1903 Aviation
FIZ,10,Let’s Fly
CGO,10,Chicago Air
ORO,10,Clipper Jet
FGE,10,Federal Air G.E. Airlines
SPD,10,Sky Prime Charter
SPN,10,Skorpion Air
KRF,10,UK Royal / VIP Flights
KOC,10,SetAir
AEZ,10,Aeroitalia
IGB,10,
OKU,10,
DMH,10,
OOO,10,Oneclick
YUB,10,
SPI,10,South Pacific Island Airways
N64,10,
UPA,10,Air Foyle
DAF,9,Danish Air Force
FGX,9,
OOP,9,
DMW,9,
MMB,9,
LED,9,Field Group Aviation
HNW,9,Honeywell
HAF,9,Hellenic Air Force
DBH,9,Northeast Airlines
SAL,9,Sociedad Aeronautica Peninsular
MRL,9,Aeromorelos
PHI,9,Philips Aviation Services
PHL,9,Phillips Michigan City Flying Service
DHE,9,DAP Helicopteros
GOT,9,Waltair Europe
N29,9,
DMT,9,Air Dan
EAL,9,Eastern Airlines
DMK,9,
LXZ,9,
TCF,9,Florida Institute of Technology
OMV,9,
LNE,9,LATAM Airlines Ecuador
ROJ,9,Royal Jet
EAS,9,Executive Aero Space
OHR,9,
OKO,9,
MPO,9,Transportes Aereos Amparo
MIC,8,Aerolineas de Michoacan
SER,8,Sentra Airways
CNE,8,Commuter Express
VIR,8,Virgin Atlantic
MER,8,Methow Aviation
MYN,8,Mayan World Airlines
BBT,8,BBN Airlines
OMN,8,Sultan of Oman Air Force
BNO,8,Babcock Scandinavian AirAmbulance
BGF,8,Government of Bulgaria
MKG,8,Air Mekong
MOL,8,Shah Air
PHD,8,Duncan Aviation
ESS,8,ESS-Luftfahrtunternehmen
PVA,8,Planet 9
NHC,8,Northern Helicopter
FHE,8,Hello
BRX,8,Braathens Regional Airways
DFY,8,
OYE,8,Koda International
R26,8,
SPG,8,Nordjet Airlines
YUS,8,
DFD,8,
OOT,8,Out of the Blue Air Safaris
CRX,8,Cross Aviation
LOK,8,Alok Air
CSD,8,Courier Services
T7N,8,
YUP,8,
ESM,8,Executive Aircraft Services
OKH,8,
SAV,8,Sun Air
ESI,8,ESI Eliservizi Italiani
GMD,8,gulfmed Aviation Services
T7D,7,
N2C,7,
VKA,7,Vulkan Air
T73,7,
T7H,7,
SPT,7,Servicio Superior Ejecutivo
AZD,7,Zimex Aviation Austria
NVD,7,Avion Express
EXJ,7,Executive Jet Charter
DHM,7,Archer Aviation
OEH,7,
IED,7,
EST,7,Flugfelag Austurlands
DMU,7,
SPS,7,SPASA
DMO,7,Domodedovo Airlines
GFI,7,Caribbean Star Airlines
KAF,7,Kyrgyz Air
N97,7,
B81,7,
N84,7,
CGH,7,Guizhou Airlines
LIF,7,Rocky Mountain
QAF,7,Qatar Amiri Flight
SPF,7,Space World Airline
PBB,7,Polizeihubschrauberstaffel Brandenburg
TAG,7,TAG Aviation San Marino
FHN,7,
SIS,7,Silver Air
HLJ,7,Hello Jets
RTA,7,Blocked
OOX,7,
TCI,7,Amber Aviation
DGB,7,
N38,7,
MGE,7,Asia Pacific Airlines
MGZ,7,
DMY,7,
XAR,7,Express Air
YRS,7,
2FA,7,
2LI,6,
DAG,6,Daghestan Airlines
EMC,6,247 Aviation
FHC,6,
SAM,6,United States Air Force 89th Airlift Wing
SWA,6,Southwest Airlines
DNC,6,Aerodynamics Malaga
PVJ,6,Privajet
PRG,6,Air Prague
POL,6,Rikspolisstyrelsen
GCM,6,Comair Flight Services - CFS
CLX,6,Cargolux Airlines International
FWS,6,
RGA,6,Swiss Air-Ambulance
T7X,6,
GJI,6,GainJet Ireland
CGJ,6,
CGS,6,SolitAir
BGH,6,BH Air
OYM,6,
OYP,6,
DKY,6,
VKG,6,SunClass Airlines
GWZ,6,Golden Wings Charter
GUL,6,Gull Air
VHL,6,
GTA,6,Gitanair
GOU,6,
AXS,6,Axis Aviation San Marino
P4S,6,
MOO,6,Moonair
ETI,6,Hummingbird Aviation Services
VXS,6,Voluxis
BQA,6,Boutique Aviation
UNY,6,"Lund University School of Aviation, TFHS"
LFO,6,DLR Deutsches Zentrum Fur Luft-Und Raumfahrt E.V.
KNE,6,flynas
DHF,6,
MAT,6,Maine Aviation Corporation
LVA,6,Hawaiian Globetrotter
N39,6,
N83,6,
DHP,6,
N2P,6,
HZK,6,
HZA,6,Horizon Airlines
ISK,6,Intersky
